Fecha, Pp, T. Máx, T. Mín, T. Med, VV Máx, VV, DWW, DV, Rag. G, HR, ET, EP 
2015-01-01,0,23.4,4.6,12.82,15.4,3.32,180.70 S,138.00 SE,330.48,63.58,2.5,4.14,
2015-01-01,0,23.4,4.6,12.82,15.4,3.32,180.70 S,138.00 SE,330.48,63.58,2.5,4.14,
2015-01-02,0,21.9,2.8,12.51,25.3,7.61,215.80 S,247.00 SO,328.79,56.61,3.2,4.8,
2015-01-02,0,21.9,2.8,12.51,25.3,7.61,215.80 S,247.00 SO,328.79,56.61,3.2,4.8,
2015-01-03,0,21.4,4.2,12.1,27,6.99,240.80 SO,232.90 SO,279.96,59.58,2.6,4.25,
2015-01-03,0,21.4,4.2,12.1,27,6.99,240.80 SO,232.90 SO,279.96,59.58,2.6,4.25,
2015-01-04,0,21,2.1,10.95,22.7,3.62,54.20 NE,37.40 N,241.09,59.08,1.7,3.61,
2015-01-04,0,21,2.1,10.95,22.7,3.62,54.20 NE,37.40 N,241.09,59.08,1.7,3.61,
2015-01-05,0,15.9,5.5,10.42,5.3,1.69,6.80 N,23.10 N,179.26,51.96,0.9,2.96,
2015-01-05,0,15.9,5.5,10.42,5.3,1.69,6.80 N,23.10 N,179.26,51.96,0.9,2.96,
2015-01-06,0,22.1,5.4,13.27,13.4,3.46,84.40 NE,29.50 N,309.28,62.86,2.3,4.11,
2015-01-06,0,22.1,5.4,13.27,13.4,3.46,84.40 NE,29.50 N,309.28,62.86,2.3,4.11,
2015-01-07,0,21.6,10,13.86,22.8,5.3,35.90 N,27.10 N,202.97,64.71,1.8,3.43,
2015-01-07,0,21.6,10,13.86,22.8,5.3,35.90 N,27.10 N,202.97,64.71,1.8,3.43,
2015-01-08,0.2,20,8.3,12.99,17.9,3.54,127.40 E,82.40 NE,396.46,58.71,2.5,4.79,
2015-01-08,0.2,20,8.3,12.99,17.9,3.54,127.40 E,82.40 NE,396.46,58.71,2.5,4.79,
2015-01-09,3.4,19,4.1,10.29,10.2,1.32,16.90 N,15.00 N,237.02,83.58,1.3,2.7,
2015-01-09,3.4,19,4.1,10.29,10.2,1.32,16.90 N,15.00 N,237.02,83.58,1.3,2.7,
2015-01-1,0.2,20.3,2.7,10.66,14.8,3.06,225.10 SO,350.20 NO,379.2,72.08,2.7,4.26,
